Color at (1490, 795): R=117, G=100, B=80
Color at (1490, 795): R=110, G=92, B=72
Color at (1490, 795): R=104, G=85, B=64
Color at (1490, 795): R=97, G=77, B=55
Color at (1490, 795): R=96, G=75, B=53
Color at (1490, 795): R=93, G=73, B=50
Color at (1490, 795): R=93, G=72, B=49
Color at (1490, 795): R=90, G=69, B=45
Color at (1490, 795): R=86, G=65, B=41
Color at (1490, 795): R=86, G=65, B=40
Color at (1490, 795): R=84, G=63, B=38
Color at (1490, 795): R=82, G=60, B=35
Color at (1490, 795): R=83, G=61, B=36
Color at (1490, 795): R=83, G=61, B=36
Color at (1490, 795): R=83, G=61, B=36
Color at (1490, 795): R=82, G=60, B=36
Color at (1490, 795): R=82, G=60, B=36
Color at (1490, 795): R=81, G=60, B=36
Color at (1490, 795): R=81, G=60, B=36
Color at (1490, 795): R=80, G=60, B=36
Color at (1490, 795): R=80, G=60, B=36
Color at (1490, 795): R=81, G=60, B=36
Color at (1490, 795): R=81, G=60, B=36
Color at (1490, 795): R=81, G=60, B=36
Color at (1490, 795): R=81, G=60, B=36
Color at (1490, 795): R=81, G=60, B=36
Color at (1490, 795): R=82, G=60, B=36
Color at (1490, 795): R=81, G=60, B=36
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=81, G=60, B=36
Color at (1490, 795): R=81, G=60, B=36
Color at (1490, 795): R=81, G=60, B=36
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=81, G=60, B=35
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=80, G=59, B=34
Color at (1490, 795): R=80, G=59, B=34
Color at (1490, 795): R=80, G=59, B=34
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=80, G=59, B=34
Color at (1490, 795): R=80, G=59, B=34
Color at (1490, 795): R=80, G=59, B=34
Color at (1490, 795): R=80, G=59, B=34
Color at (1490, 795): R=80, G=59, B=34
Color at (1490, 795): R=80, G=59, B=34
Color at (1490, 795): R=80, G=59, B=34
Color at (1490, 795): R=80, G=58, B=33
Color at (1490, 795): R=80, G=58, B=33
Color at (1490, 795): R=80, G=59, B=34
Color at (1490, 795): R=80, G=59, B=34
Color at (1490, 795): R=80, G=58, B=34
Color at (1490, 795): R=80, G=58, B=34
Color at (1490, 795): R=80, G=58, B=34
Color at (1490, 795): R=80, G=58, B=34
Color at (1490, 795): R=79, G=58, B=34
Color at (1490, 795): R=80, G=59, B=34
Color at (1490, 795): R=79, G=58, B=34
Color at (1490, 795): R=79, G=58, B=34
Color at (1490, 795): R=79, G=58, B=34
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=81, G=59, B=35
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=81, G=59, B=35
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=81, G=59, B=35
Color at (1490, 795): R=80, G=58, B=34
Color at (1490, 795): R=80, G=58, B=34
Color at (1490, 795): R=80, G=58, B=34
Color at (1490, 795): R=80, G=58, B=34
Color at (1490, 795): R=80, G=58, B=34
Color at (1490, 795): R=80, G=58, B=34
Color at (1490, 795): R=80, G=58, B=34
Color at (1490, 795): R=79, G=58, B=34
Color at (1490, 795): R=79, G=57, B=33
Color at (1490, 795): R=80, G=58, B=34
Color at (1490, 795): R=80, G=58, B=34
Color at (1490, 795): R=80, G=58, B=34
Color at (1490, 795): R=80, G=58, B=34
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=58, B=35
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=81, G=59, B=35
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=79, G=58, B=34
Color at (1490, 795): R=80, G=58, B=34
Color at (1490, 795): R=80, G=58, B=34
Color at (1490, 795): R=80, G=58, B=34
Color at (1490, 795): R=79, G=58, B=34
Color at (1490, 795): R=79, G=58, B=34
Color at (1490, 795): R=78, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=78, G=58, B=33
Color at (1490, 795): R=78, G=58, B=33
Color at (1490, 795): R=78, G=57, B=33
Color at (1490, 795): R=78, G=57, B=33
Color at (1490, 795): R=77, G=57, B=33
Color at (1490, 795): R=78, G=57, B=34
Color at (1490, 795): R=78, G=57, B=34
Color at (1490, 795): R=78, G=57, B=34
Color at (1490, 795): R=78, G=57, B=34
Color at (1490, 795): R=78, G=57, B=34
Color at (1490, 795): R=78, G=57, B=34
Color at (1490, 795): R=78, G=57, B=34
Color at (1490, 795): R=78, G=57, B=34
Color at (1490, 795): R=77, G=57, B=33
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=33
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=76, G=56, B=33
Color at (1490, 795): R=76, G=56, B=33
Color at (1490, 795): R=76, G=56, B=33
Color at (1490, 795): R=76, G=57, B=33
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=78, G=57, B=34
Color at (1490, 795): R=78, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=78, G=57, B=35
Color at (1490, 795): R=78, G=57, B=35
Color at (1490, 795): R=78, G=57, B=35
Color at (1490, 795): R=78, G=57, B=35
Color at (1490, 795): R=78, G=57, B=34
Color at (1490, 795): R=79, G=58, B=35
Color at (1490, 795): R=79, G=58, B=35
Color at (1490, 795): R=79, G=58, B=35
Color at (1490, 795): R=79, G=58, B=35
Color at (1490, 795): R=79, G=58, B=35
Color at (1490, 795): R=80, G=58, B=34
Color at (1490, 795): R=79, G=57, B=34
Color at (1490, 795): R=79, G=58, B=34
Color at (1490, 795): R=79, G=58, B=34
Color at (1490, 795): R=79, G=58, B=34
Color at (1490, 795): R=79, G=58, B=34
Color at (1490, 795): R=79, G=58, B=34
Color at (1490, 795): R=79, G=58, B=34
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=80, G=59, B=35
Color at (1490, 795): R=79, G=58, B=34
Color at (1490, 795): R=79, G=58, B=34
Color at (1490, 795): R=79, G=58, B=34
Color at (1490, 795): R=79, G=58, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=78, G=57, B=34
Color at (1490, 795): R=78, G=57, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=78, G=58, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=78, G=57, B=35
Color at (1490, 795): R=78, G=57, B=35
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=78, G=57, B=34
Color at (1490, 795): R=77, G=57, B=35
Color at (1490, 795): R=77, G=57, B=35
Color at (1490, 795): R=77, G=57, B=35
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=77, G=57, B=34
Color at (1490, 795): R=75, G=57, B=34
Color at (1490, 795): R=76, G=57, B=34
Color at (1490, 795): R=75, G=57, B=34
Color at (1490, 795): R=75, G=57, B=34
Color at (1490, 795): R=75, G=57, B=34
Color at (1490, 795): R=75, G=58, B=35
Color at (1490, 795): R=75, G=61, B=37
Color at (1490, 795): R=202, G=241, B=238
Color at (1490, 795): R=91, G=84, B=40
Color at (1490, 795): R=81, G=62, B=36
Color at (1490, 795): R=81, G=61, B=36
Color at (1490, 795): R=79, G=59, B=36
Color at (1490, 795): R=79, G=59, B=36
Color at (1490, 795): R=78, G=59, B=36
Color at (1490, 795): R=76, G=57, B=35
Color at (1490, 795): R=77, G=58, B=35
Color at (1490, 795): R=76, G=57, B=34
Color at (1490, 795): R=75, G=57, B=34
Color at (1490, 795): R=75, G=57, B=34
Color at (1490, 795): R=76, G=57, B=34
Color at (1490, 795): R=76, G=57, B=34
Color at (1490, 795): R=75, G=57, B=34
Color at (1490, 795): R=76, G=58, B=34
Color at (1490, 795): R=75, G=57, B=34
